Training started at 2026-04-01 10:08:07.631039
================================================================================
Episode 397: Reward=-62666582.82, Cost=62666582.82, Length=1000
Episode 398: Reward=-56414975.19, Cost=56414975.19, Length=1000
Episode 399: Reward=-66412637.45, Cost=66412637.45, Length=1000
Episode 400: Reward=-62573959.65, Cost=62573959.65, Length=1000
Episode 401: Reward=-55814887.81, Cost=55814887.81, Length=1000
Episode 402: Reward=-51409069.80, Cost=51409069.80, Length=1000
Episode 403: Reward=-63459864.38, Cost=63459864.38, Length=1000
Episode 404: Reward=-56139617.28, Cost=56139617.28, Length=1000
Episode 405: Reward=-67807513.34, Cost=67807513.34, Length=1000
Episode 406: Reward=-60522032.72, Cost=60522032.72, Length=1000
Episode 407: Reward=-56533307.69, Cost=56533307.69, Length=1000
Episode 408: Reward=-60346319.35, Cost=60346319.35, Length=1000
Episode 409: Reward=-52271289.42, Cost=52271289.42, Length=1000
Episode 410: Reward=-49613626.27, Cost=49613626.27, Length=1000
Episode 411: Reward=-61222658.52, Cost=61222658.52, Length=1000
Episode 412: Reward=-51733124.84, Cost=51733124.84, Length=1000
Episode 413: Reward=-51889656.11, Cost=51889656.11, Length=1000
Episode 414: Reward=-64710878.74, Cost=64710878.74, Length=1000
Episode 415: Reward=-53148105.24, Cost=53148105.24, Length=1000
Episode 416: Reward=-57733122.38, Cost=57733122.38, Length=1000
Episode 417: Reward=-56629988.53, Cost=56629988.53, Length=1000
Episode 418: Reward=-56266364.76, Cost=56266364.76, Length=1000
Episode 419: Reward=-53397558.84, Cost=53397558.84, Length=1000
Episode 420: Reward=-54830732.05, Cost=54830732.05, Length=1000
