Training started at 2026-04-08 23:46:44.493567
================================================================================
Episode 317: Reward=-268.93, Cost=2689268.73, Length=500
Episode 318: Reward=-271.12, Cost=2711239.65, Length=500
Episode 319: Reward=-270.11, Cost=2701071.80, Length=500
Episode 320: Reward=-272.02, Cost=2720163.17, Length=500
Episode 321: Reward=-271.43, Cost=2714291.12, Length=500
Episode 322: Reward=-268.63, Cost=2686330.04, Length=500
Episode 323: Reward=-273.49, Cost=2734922.45, Length=500
Episode 324: Reward=-275.11, Cost=2751129.20, Length=500
Episode 325: Reward=-273.85, Cost=2738532.18, Length=500
Episode 326: Reward=-271.46, Cost=2714622.20, Length=500
Episode 327: Reward=-272.49, Cost=2724934.45, Length=500
Episode 328: Reward=-267.33, Cost=2673311.83, Length=500
Episode 329: Reward=-274.82, Cost=2748220.03, Length=500
Episode 330: Reward=-272.63, Cost=2726250.02, Length=500
Episode 331: Reward=-272.99, Cost=2729881.38, Length=500
Episode 332: Reward=-270.96, Cost=2709590.64, Length=500
Episode 333: Reward=-268.97, Cost=2689740.21, Length=500
Episode 334: Reward=-269.68, Cost=2696840.20, Length=500
Episode 335: Reward=-269.84, Cost=2698424.59, Length=500
Episode 336: Reward=-270.68, Cost=2706766.30, Length=500
Episode 337: Reward=-270.62, Cost=2706242.81, Length=500
Episode 338: Reward=-271.97, Cost=2719722.21, Length=500
Episode 339: Reward=-272.09, Cost=2720873.76, Length=500
Episode 340: Reward=-272.05, Cost=2720469.43, Length=500
Episode 341: Reward=-267.29, Cost=2672917.87, Length=500
Episode 342: Reward=-271.60, Cost=2716035.48, Length=500
Episode 343: Reward=-271.34, Cost=2713395.89, Length=500
Episode 344: Reward=-268.07, Cost=2680678.55, Length=500
Episode 345: Reward=-272.98, Cost=2729783.03, Length=500
Episode 346: Reward=-267.33, Cost=2673257.75, Length=500
Episode 347: Reward=-272.02, Cost=2720163.26, Length=500
Episode 348: Reward=-269.38, Cost=2693789.25, Length=500
Episode 349: Reward=-268.56, Cost=2685633.01, Length=500
Episode 350: Reward=-265.90, Cost=2659023.65, Length=500
Episode 351: Reward=-273.01, Cost=2730129.85, Length=500
Episode 352: Reward=-277.51, Cost=2775108.59, Length=500
Episode 353: Reward=-274.82, Cost=2748162.11, Length=500
Episode 354: Reward=-274.32, Cost=2743163.01, Length=500
Episode 355: Reward=-273.37, Cost=2733706.75, Length=500
Episode 356: Reward=-270.71, Cost=2707126.96, Length=500
Episode 357: Reward=-267.21, Cost=2672094.31, Length=500
Episode 358: Reward=-273.20, Cost=2732016.05, Length=500
Episode 359: Reward=-266.17, Cost=2661736.90, Length=500
Episode 360: Reward=-260.60, Cost=2605962.23, Length=500
Episode 361: Reward=-270.59, Cost=2705920.48, Length=500
Episode 362: Reward=-278.59, Cost=2785851.84, Length=500
Episode 363: Reward=-273.71, Cost=2737085.43, Length=500
